x,y,height,is_low_point,basin_number
24,3,8,0,18
25,3,7,0,18
26,3,8,0,18
27,3,9,0
28,3,7,0,13
29,3,6,0,13
30,3,5,0,13
31,3,4,0,13
32,3,3,0,13
33,3,9,0
34,3,8,0,2
35,3,8,0,2
36,3,7,0,2
37,3,8,0,2
38,3,9,0
39,3,9,0
40,3,9,0
41,3,6,0,3
42,3,5,0,3
43,3,7,0,3
44,3,6,0,3
45,3,7,0,3
46,3,8,0,3
47,3,9,0
48,3,9,0
49,3,7,0,10
50,3,6,0,10
51,3,7,0,10
52,3,9,0
53,3,8,0,17
54,3,7,0,17
55,3,6,0,17
56,3,7,0,17
57,3,5,0,17
58,3,6,0,17
59,3,7,0,17
60,3,7,0,17
61,3,9,0
62,3,8,0,8
63,3,8,0,8
64,3,6,0,8
65,3,5,0,8
66,3,5,0,8
67,3,6,0,8
68,3,3,0,8
69,3,4,0,8
70,3,4,0,8
71,3,6,0,8
72,3,7,0,8
73,3,8,0,8
74,3,9,0
75,3,1,0,14
76,3,2,0,14
77,3,3,0,14
78,3,4,0,14
79,3,5,0,14
80,3,6,0,14
81,3,9,0
82,3,5,0,15
83,3,6,0,15
84,3,9,0
85,3,7,0,7
86,3,6,0,7
87,3,5,0,7
88,3,6,0,7
89,3,7,0,7
90,3,9,0
91,3,9,0
92,3,8,0,11
93,3,3,0,11
94,3,2,0,11
95,3,1,0,11
96,3,2,0,11
97,3,3,0,11
98,3,4,0,11
99,3,5,0,11
0,4,6,0,12
1,4,5,0,12
2,4,4,0,12
3,4,2,0,12
4,4,1,0,12
5,4,2,0,12
6,4,3,0,12
7,4,4,0,12
8,4,6,0,12
9,4,7,0,12
10,4,8,0,12
11,4,9,0
12,4,7,0,16
13,4,6,0,16
14,4,5,0,16
15,4,7,0,16
16,4,8,0,16
17,4,9,0
18,4,9,0
19,4,8,0,18
20,4,7,0,18
21,4,9,0
22,4,5,0,18
23,4,4,0,18
24,4,5,0,18
25,4,6,0,18
26,4,7,0,18
27,4,8,0,18
28,4,9,0
29,4,7,0,13
30,4,6,0,13
31,4,7,0,13
32,4,2,0,13
33,4,1,1,13
34,4,9,0
35,4,9,0
36,4,8,0,2
37,4,9,0
38,4,6,0,21
39,4,9,0
40,4,8,0,3
41,4,7,0,3
42,4,6,0,3
43,4,8,0,3
44,4,9,0
45,4,8,0,3
46,4,9,0
47,4,6,0,19
48,4,9,0
49,4,8,0,10
50,4,9,0
51,4,8,0,10
52,4,9,0
53,4,9,0
54,4,8,0,17
55,4,5,0,17
56,4,3,0,17
57,4,4,0,17
58,4,5,0,17
59,4,7,0,17
60,4,6,0,17
61,4,5,0,17
62,4,9,0
63,4,9,0
64,4,8,0,8
65,4,6,0,8
66,4,7,0,8
67,4,8,0,8
68,4,4,0,8
69,4,7,0,8
70,4,8,0,8
71,4,9,0
72,4,8,0,8
73,4,9,0
74,4,1,0,14
75,4,0,1,14
76,4,3,0,14
77,4,4,0,14
78,4,7,0,14
79,4,6,0,14
80,4,9,0
81,4,5,0,15
82,4,4,1,15
83,4,5,0,15
84,4,9,0
85,4,8,0,7
86,4,7,0,7
87,4,6,0,7
88,4,7,0,7
89,4,8,0,7
90,4,9,0
91,4,8,0,11
92,4,7,0,11
93,4,6,0,11
94,4,4,0,11
95,4,5,0,11
96,4,6,0,11
97,4,6,0,11
98,4,5,0,11
99,4,6,0,11
0,5,7,0,12
1,5,7,0,12
2,5,5,0,12
3,5,4,0,12
4,5,3,0,12
5,5,3,0,12
6,5,4,0,12
7,5,5,0,12
8,5,7,0,12
9,5,8,0,12
10,5,9,0
11,5,9,0
12,5,8,0,16
13,5,9,0
14,5,4,1,16
15,5,6,0,16
16,5,7,0,16
17,5,9,0
18,5,8,0,18
19,5,7,0,18
20,5,6,0,18
21,5,3,0,18
22,5,2,0,18
23,5,3,0,18
24,5,4,0,18
25,5,5,0,18
26,5,8,0,18
27,5,9,0
28,5,8,0,18
29,5,9,0
30,5,5,0,13
31,5,4,0,13
32,5,3,0,13
33,5,2,0,13
34,5,3,0,13
35,5,4,0,13
36,5,9,0
37,5,6,0,21
38,5,5,0,21
39,5,4,0,21
40,5,9,0
41,5,8,0,3
42,5,9,0
43,5,9,0
44,5,9,0
45,5,9,0
46,5,6,0,19
47,5,5,0,19
48,5,4,0,19
49,5,9,0
50,5,4,0,19
51,5,9,0
52,5,6,0,19
53,5,7,0,19
54,5,9,0
55,5,6,0,17
56,5,2,0,17
57,5,1,0,17
58,5,0,1,17
59,5,1,0,17
60,5,2,0,17
61,5,4,0,17
62,5,5,0,17
63,5,9,0
64,5,8,0,8
65,5,7,0,8
66,5,8,0,8
67,5,9,0
68,5,5,0,8
69,5,6,0,8
70,5,9,0
71,5,9,0
72,5,9,0
73,5,4,0,14
74,5,2,0,14
75,5,1,0,14
76,5,2,0,14
77,5,5,0,14
78,5,6,0,14
79,5,7,0,14
80,5,8,0,14
81,5,9,0
82,5,5,0,15
83,5,8,0,15
84,5,9,0
85,5,9,0
86,5,9,0
87,5,7,0,7
88,5,8,0,7
89,5,9,0
90,5,7,0,23
91,5,9,0
92,5,8,0,11
93,5,8,0,11
94,5,5,0,11
95,5,7,0,11
96,5,8,0,11
97,5,9,0
98,5,6,0,11
99,5,7,0,11
0,6,8,0,12
1,6,7,0,12
2,6,6,0,12
3,6,5,0,12
4,6,6,0,12
5,6,4,0,12
6,6,5,0,12
7,6,6,0,12
8,6,8,0,12
9,6,9,0
10,6,4,0,20
11,6,5,0,20
12,6,9,0
13,6,8,0,30
14,6,9,0
15,6,8,0,16
16,6,9,0
17,6,9,0
18,6,8,0,18
19,6,6,0,18
20,6,5,0,18
21,6,2,0,18
22,6,1,1,18
23,6,2,0,18
24,6,3,0,18
25,6,4,0,18
26,6,5,0,18
27,6,6,0,18
28,6,7,0,18
29,6,8,0,18
30,6,9,0
31,6,9,0
32,6,9,0
33,6,3,0,13
34,6,4,0,13
35,6,5,0,13
36,6,6,0,13
37,6,9,0
38,6,4,0,21
39,6,3,0,21
40,6,4,0,21
41,6,9,0
42,6,9,0
43,6,7,0,33
44,6,8,0,33
45,6,9,0
46,6,5,0,19
47,6,4,0,19
48,6,3,0,19
49,6,2,0,19
50,6,3,0,19
51,6,4,0,19
52,6,5,0,19
53,6,9,0
54,6,8,0,17
55,6,7,0,17
56,6,6,0,17
57,6,5,0,17
58,6,1,0,17
59,6,2,0,17
60,6,3,0,17
61,6,4,0,17
62,6,6,0,17
63,6,7,0,17
64,6,9,0
65,6,8,0,8
66,6,9,0
67,6,8,0,8
68,6,6,0,8
69,6,8,0,8
70,6,9,0
71,6,8,0,14
72,6,7,0,14
73,6,6,0,14
74,6,7,0,14
75,6,4,0,14
76,6,3,0,14
77,6,4,0,14
78,6,7,0,14
79,6,9,0
80,6,9,0
81,6,7,0,15
82,6,6,0,15
83,6,7,0,15
84,6,8,0,15
85,6,9,0
86,6,9,0
87,6,8,0,7
88,6,9,0
89,6,6,0,23
90,6,5,0,23
91,6,3,0,23
92,6,9,0
93,6,9,0
94,6,7,0,11
95,6,8,0,11
96,6,9,0
97,6,8,0,11
98,6,7,0,11
99,6,8,0,11
0,7,9,0
1,7,8,0,12
2,7,7,0,12
3,7,6,0,12
4,7,7,0,12
5,7,9,0
6,7,6,0,12
7,7,7,0,12
8,7,9,0
9,7,1,0,20
10,7,3,0,20
11,7,9,0
12,7,8,0,30
13,7,7,0,30
14,7,8,0,30
15,7,9,0
16,7,8,0,18
17,7,7,0,18
18,7,6,0,18
19,7,5,0,18
20,7,4,0,18
21,7,3,0,18
22,7,2,0,18
23,7,3,0,18
24,7,4,0,18
25,7,5,0,18
26,7,7,0,18
27,7,8,0,18
28,7,9,0
29,7,9,0
30,7,7,0,31
31,7,8,0,31
32,7,8,0,31
33,7,9,0
34,7,5,0,13
35,7,6,0,13
36,7,7,0,13
37,7,8,0,13
38,7,9,0
39,7,2,0,21
40,7,9,0
41,7,8,0,33
42,7,7,0,33
43,7,6,0,33
44,7,7,0,33
45,7,8,0,33
46,7,9,0
47,7,5,0,19
48,7,4,0,19
49,7,1,1,19
50,7,2,0,19
51,7,3,0,19
52,7,9,0
53,7,8,0,17
54,7,7,0,17
55,7,6,0,17
56,7,5,0,17
57,7,4,0,17
58,7,3,0,17
59,7,4,0,17
60,7,5,0,17
61,7,6,0,17
62,7,7,0,17
63,7,8,0,17
64,7,9,0
65,7,9,0
66,7,9,0
67,7,9,0
68,7,7,0,8
69,7,9,0
70,7,6,0,28
71,7,9,0
72,7,9,0
73,7,8,0,14
74,7,9,0
75,7,6,0,14
76,7,4,0,14
77,7,5,0,14
78,7,6,0,14
79,7,7,0,14
80,7,8,0,14
81,7,9,0
82,7,7,0,15
83,7,9,0
84,7,9,0
85,7,2,0,22
86,7,1,0,22
87,7,9,0
88,7,8,0,23
89,7,7,0,23
90,7,3,0,23
91,7,2,0,23
92,7,1,0,23
93,7,9,0
94,7,8,0,11
95,7,9,0
96,7,3,0,24
97,7,9,0
98,7,8,0,11
99,7,9,0
0,8,2,0,25
1,8,9,0
2,8,8,0,12
3,8,9,0
4,8,9,0
5,8,8,0,34
6,8,9,0
7,8,8,0,12
8,8,9,0
9,8,0,1,20
10,8,9,0
11,8,8,0,30
12,8,7,0,30
13,8,6,0,30
14,8,7,0,30
15,8,9,0
16,8,9,0
17,8,8,0,18
18,8,7,0,18
19,8,6,0,18
20,8,5,0,18
21,8,4,0,18
22,8,3,0,18
23,8,4,0,18
24,8,5,0,18
25,8,6,0,18
26,8,7,0,18
27,8,8,0,18
28,8,9,0
29,8,4,0,31
30,8,6,0,31
31,8,7,0,31
32,8,7,0,31
33,8,8,0,31
34,8,9,0
35,8,7,0,13
36,8,8,0,13
37,8,9,0
38,8,0,1,21
39,8,1,0,21
40,8,9,0
41,8,8,0,33
42,8,8,0,33
43,8,5,0,33
44,8,6,0,33
45,8,9,0
46,8,8,0,33
47,8,9,0
48,8,9,0
49,8,2,0,19
50,8,3,0,19
51,8,9,0
52,8,7,0,26
53,8,9,0
54,8,9,0
55,8,9,0
56,8,6,0,17
57,8,5,0,17
58,8,4,0,17
59,8,5,0,17
60,8,6,0,17
61,8,9,0
62,8,8,0,17
63,8,9,0
64,8,9,0
65,8,8,0,27
66,8,9,0
67,8,9,0
68,8,8,0,8
69,8,9,0
70,8,5,0,28
71,8,4,0,28
72,8,6,0,28
73,8,9,0
74,8,8,0,14
75,8,7,0,14
76,8,5,0,14
77,8,6,0,14
78,8,7,0,14
79,8,8,0,14
80,8,9,0
81,8,3,0,29
82,8,9,0
83,8,8,0,32
84,8,9,0
85,8,3,0,22
86,8,0,1,22
87,8,9,0
88,8,9,0
89,8,9,0
90,8,2,0,23
91,8,1,0,23
92,8,0,1,23
93,8,9,0
94,8,9,0
95,8,1,1,24
96,8,2,0,24
97,8,3,0,24
98,8,9,0
99,8,9,0
0,9,1,0,25
1,9,0,1,25
2,9,9,0
3,9,8,0,34
4,9,6,0,34
5,9,7,0,34
6,9,9,0
7,9,9,0
8,9,9,0
9,9,9,0
10,9,9,0
11,9,7,0,30
12,9,6,0,30
13,9,5,0,30
14,9,6,0,30
15,9,7,0,30
16,9,8,0,30
17,9,9,0
18,9,8,0,18
19,9,9,0
20,9,6,0,18
21,9,8,0,18
22,9,7,0,18
23,9,6,0,18
24,9,6,0,18
25,9,9,0
26,9,8,0,18
27,9,9,0
28,9,4,0,31
29,9,3,0,31
30,9,2,0,31
31,9,7,0,31
32,9,6,0,31
33,9,7,0,31
34,9,8,0,31
35,9,9,0
36,9,9,0
37,9,4,0,21
38,9,1,0,21
39,9,2,0,21
40,9,9,0
41,9,7,0,33
42,9,5,0,33
43,9,4,0,33
44,9,5,0,33
45,9,7,0,33
46,9,6,0,33
47,9,7,0,33
48,9,8,0,33
49,9,9,0
50,9,9,0
51,9,8,0,26
52,9,6,1,26
53,9,8,0,26
54,9,9,0
55,9,8,0,17
56,9,7,0,17
57,9,6,0,17
58,9,7,0,17
59,9,8,0,17
60,9,9,0
61,9,0,1,27
62,9,9,0
63,9,7,0,27
64,9,6,0,27
65,9,7,0,27
66,9,8,0,27
67,9,9,0
68,9,9,0
69,9,8,0,28
70,9,4,0,28
71,9,3,1,28
72,9,4,0,28
73,9,5,0,28
74,9,9,0
75,9,8,0,14
76,9,6,0,14
77,9,7,0,14
78,9,8,0,14
79,9,9,0
80,9,3,0,29
81,9,2,1,29
82,9,9,0
83,9,7,0,32
84,9,8,0,32
85,9,9,0
86,9,9,0
87,9,8,0,23
88,9,7,0,23
89,9,4,0,23
90,9,3,0,23
91,9,2,0,23
92,9,9,0
93,9,8,0,41
94,9,9,0
95,9,4,0,24
96,9,3,0,24
97,9,4,0,24
98,9,5,0,24
99,9,8,0,24
0,10,2,0,25
1,10,9,0
2,10,8,0,34
3,10,7,0,34
4,10,5,0,34
5,10,6,0,34
6,10,7,0,34
7,10,8,0,34
8,10,9,0
9,10,8,0,30
10,10,7,0,30
11,10,6,0,30
12,10,5,0,30
13,10,4,1,30
14,10,5,0,30
15,10,8,0,30
16,10,9,0
17,10,5,0,35
18,10,9,0
19,10,8,0,18
20,10,7,0,18
21,10,8,0,18
22,10,9,0
23,10,7,0,18
24,10,8,0,18
25,10,9,0
26,10,9,0
27,10,4,0,31
28,10,3,0,31
29,10,2,0,31
30,10,1,1,31
31,10,4,0,31
32,10,5,0,31
33,10,6,0,31
34,10,7,0,31
35,10,8,0,31
36,10,9,0
37,10,3,0,21
38,10,2,0,21
39,10,9,0
40,10,8,0,33
41,10,7,0,33
42,10,6,0,33
43,10,3,0,33
44,10,3,0,33
45,10,6,0,33
46,10,5,0,33
47,10,6,0,33
48,10,7,0,33
49,10,9,0
50,10,9,0
51,10,9,0
52,10,8,0,26
53,10,9,0
54,10,9,0
55,10,9,0
56,10,8,0,17
57,10,9,0
58,10,8,0,17
59,10,9,0
60,10,3,0,27
61,10,2,0,27
62,10,3,0,27
63,10,4,0,27
64,10,5,0,27
65,10,9,0
66,10,9,0
67,10,9,0
68,10,8,0,28
69,10,7,0,28
70,10,5,0,28
71,10,6,0,28
72,10,5,0,28
73,10,6,0,28
74,10,7,0,28
75,10,9,0
76,10,7,0,14
77,10,8,0,14
78,10,9,0
79,10,9,0
80,10,9,0
81,10,9,0
82,10,8,0,32
83,10,6,0,32
84,10,7,0,32
85,10,9,0
86,10,8,0,23
87,10,7,0,23
88,10,6,0,23
89,10,5,0,23
90,10,4,0,23
91,10,9,0
92,10,9,0
93,10,7,0,41
94,10,8,0,41
95,10,9,0
96,10,9,0
97,10,5,0,24
98,10,6,0,24
99,10,7,0,24
0,11,9,0
1,11,8,0,34
2,11,7,0,34
3,11,6,0,34
4,11,4,0,34
5,11,5,0,34
6,11,6,0,34
7,11,7,0,34
8,11,8,0,34
9,11,9,0
10,11,8,0,30
11,11,7,0,30
12,11,6,0,30
13,11,5,0,30
14,11,6,0,30
15,11,9,0
16,11,5,0,35
17,11,4,0,35
18,11,5,0,35
19,11,9,0
20,11,8,0,18
21,11,9,0
22,11,9,0
23,11,8,0,18
24,11,9,0
25,11,7,0,31
26,11,6,0,31
27,11,5,0,31
28,11,5,0,31
29,11,4,0,31
30,11,2,0,31
31,11,3,0,31
32,11,7,0,31
33,11,8,0,31
34,11,9,0
35,11,9,0
36,11,9,0
37,11,4,0,21
38,11,3,0,21
39,11,4,0,21
40,11,9,0
41,11,8,0,33
42,11,4,0,33
43,11,2,0,33
44,11,1,0,33
45,11,3,0,33
46,11,4,0,33
47,11,5,0,33
48,11,9,0
49,11,8,0,33
50,11,9,0
51,11,9,0
52,11,9,0
53,11,9,0
54,11,9,0
55,11,9,0
56,11,9,0
57,11,9,0
58,11,9,0
59,11,6,0,27
60,11,5,0,27
61,11,6,0,27
62,11,4,0,27
63,11,6,0,27
64,11,9,0
65,11,8,0,40
66,11,9,0
67,11,9,0
68,11,9,0
69,11,8,0,28
70,11,9,0
71,11,7,0,28
72,11,6,0,28
73,11,8,0,28
74,11,9,0
75,11,9,0
76,11,8,0,14
77,11,9,0
78,11,6,0,38
79,11,9,0
80,11,8,0,38
81,11,9,0
82,11,7,0,32
83,11,5,1,32
84,11,8,0,32
85,11,9,0
86,11,9,0
87,11,9,0
88,11,7,0,23
89,11,9,0
90,11,9,0
91,11,8,0,41
92,11,9,0
93,11,6,0,41
94,11,8,0,41
95,11,8,0,41
96,11,8,0,41
97,11,9,0
98,11,7,0,24
99,11,9,0
0,12,7,0,34
1,12,9,0
2,12,9,0
3,12,5,0,34
4,12,3,0,34
5,12,2,0,34
6,12,3,0,34
7,12,8,0,34
8,12,9,0
9,12,9,0
10,12,9,0
11,12,8,0,30
12,12,7,0,30
13,12,6,0,30
14,12,7,0,30
15,12,8,0,30
16,12,9,0
17,12,3,0,35
18,12,4,0,35
19,12,9,0
20,12,9,0
21,12,6,0,37
22,12,5,0,37
23,12,9,0
24,12,9,0
25,12,8,0,31
26,12,7,0,31
27,12,6,0,31
28,12,6,0,31
29,12,5,0,31
30,12,3,0,31
31,12,4,0,31
32,12,6,0,31
33,12,7,0,31
34,12,8,0,31
35,12,9,0
36,12,8,0,45
37,12,9,0
38,12,4,0,21
39,12,9,0
40,12,8,0,33
41,12,7,0,33
42,12,5,0,33
43,12,1,0,33
44,12,0,1,33
45,12,2,0,33
46,12,3,0,33
47,12,4,0,33
48,12,5,0,33
49,12,7,0,33
50,12,8,0,33
51,12,9,0
52,12,9,0
53,12,9,0
54,12,8,0,46
55,12,9,0
56,12,9,0
57,12,8,0,46
58,12,9,0
59,12,7,0,27
60,12,8,0,27
61,12,7,0,27
62,12,5,0,27
63,12,9,0
64,12,8,0,40
65,12,7,0,40
66,12,8,0,40
67,12,9,0
68,12,9,0
69,12,9,0
70,12,8,0,40
71,12,9,0
72,12,7,0,28
73,12,9,0
74,12,8,0,38
75,12,7,0,38
76,12,9,0
77,12,6,0,38
78,12,5,0,38
79,12,7,0,38
80,12,7,0,38
81,12,8,0,38
82,12,9,0
83,12,6,0,32
84,12,9,0
85,12,8,0,36
86,12,7,0,36
87,12,8,0,36
88,12,9,0
89,12,8,0,36
90,12,9,0
91,12,7,0,41
92,12,6,0,41
93,12,5,0,41
94,12,6,0,41
95,12,7,0,41
96,12,7,0,41
97,12,8,0,41
98,12,9,0
99,12,9,0
0,13,6,0,34
1,13,5,0,34
2,13,4,0,34
3,13,3,0,34
4,13,2,0,34
5,13,1,1,34
6,13,2,0,34
7,13,9,0
8,13,9,0
9,13,8,0,39
10,13,6,0,39
11,13,9,0
12,13,8,0,30
13,13,9,0
14,13,8,0,30
15,13,9,0
16,13,3,0,35
17,13,2,1,35
18,13,9,0
19,13,8,0,37
20,13,6,0,37
21,13,5,0,37
22,13,4,0,37
23,13,5,0,37
24,13,4,0,37
25,13,9,0
26,13,8,0,31
27,13,9,0
28,13,8,0,31
29,13,6,0,31
30,13,7,0,31
31,13,5,0,31
32,13,6,0,31
33,13,9,0
34,13,9,0
35,13,9,0
36,13,7,0,45
37,13,8,0,45
38,13,9,0
39,13,9,0
40,13,9,0
41,13,8,0,33
42,13,9,0
43,13,2,0,33
44,13,3,0,33
45,13,9,0
46,13,6,0,33
47,13,5,0,33
48,13,6,0,33
49,13,7,0,33
50,13,9,0
51,13,9,0
52,13,9,0
53,13,8,0,46
54,13,7,0,46
55,13,8,0,46
56,13,9,0
57,13,7,0,46
58,13,8,0,46
59,13,9,0
60,13,9,0
61,13,8,0,27
62,13,9,0
63,13,8,0,40
64,13,7,0,40
65,13,6,0,40
66,13,7,0,40
67,13,9,0
68,13,9,0
69,13,8,0,40
70,13,7,0,40
71,13,8,0,40
72,13,9,0
73,13,9,0
74,13,7,0,38
75,13,6,0,38
76,13,5,0,38
77,13,4,0,38
78,13,4,0,38
79,13,5,0,38
80,13,6,0,38
81,13,9,0
82,13,9,0
83,13,9,0
84,13,8,0,36
85,13,7,0,36
86,13,6,0,36
87,13,7,0,36
88,13,6,0,36
89,13,7,0,36
90,13,8,0,36
91,13,9,0
92,13,5,0,41
93,13,4,0,41
94,13,3,0,41
95,13,4,0,41
96,13,5,0,41
97,13,6,0,41
98,13,7,0,41
99,13,9,0
0,14,8,0,34
1,14,7,0,34
2,14,6,0,34
3,14,5,0,34
4,14,4,0,34
5,14,3,0,34
6,14,3,0,34
7,14,7,0,34
8,14,9,0
9,14,6,0,39
10,14,5,0,39
11,14,3,0,39
12,14,9,0
13,14,6,0,39
14,14,9,0
15,14,7,0,39
16,14,9,0
17,14,3,0,35
18,14,9,0
19,14,9,0
20,14,8,0,37
21,14,4,0,37
22,14,3,0,37
23,14,4,0,37
24,14,3,0,37
25,14,4,0,37
26,14,9,0
27,14,9,0
28,14,8,0,31
29,14,7,0,31
30,14,7,0,31
31,14,6,0,31
32,14,9,0
33,14,8,0,45
34,14,8,0,45
35,14,7,0,45
36,14,6,0,45
37,14,7,0,45
38,14,8,0,45
39,14,8,0,45
40,14,9,0
41,14,9,0
42,14,9,0
43,14,9,0
44,14,9,0
45,14,8,0,47
46,14,9,0
47,14,7,0,33
48,14,8,0,33
49,14,8,0,33
50,14,9,0
51,14,9,0
52,14,8,0,46
53,14,7,0,46
54,14,6,0,46
55,14,4,0,46
56,14,5,0,46
57,14,6,0,46
58,14,9,0
59,14,8,0,46
60,14,9,0
61,14,9,0
62,14,9,0
63,14,7,0,40
64,14,6,0,40
65,14,5,0,40
66,14,6,0,40
67,14,7,0,40
68,14,8,0,40
69,14,9,0
70,14,5,0,40
71,14,7,0,40
72,14,7,0,40
73,14,8,0,40
74,14,9,0
75,14,3,0,38
76,14,2,0,38
77,14,3,0,38
